,feelslike,tempmax,humidity,tempmin,temp_lag_1,effective_solar
45,28.8,32.6,64.8,24.8,28.1,6.818181818181818
46,28.6,32.4,63.0,24.8,27.9,6.162689804772235
47,29.7,34.6,62.8,24.6,27.7,9.585106382978724
48,29.9,32.0,65.8,25.9,28.5,3.685770750988142
49,28.9,34.0,54.9,25.0,28.2,7.151041666666668
50,29.9,33.6,61.2,24.9,28.6,7.5609065155807365
51,30.2,34.0,59.4,26.0,28.7,7.334302325581396
52,30.9,34.6,58.0,26.0,29.1,6.600490196078432
53,31.3,36.2,52.4,25.4,29.6,11.701612903225806
54,32.0,36.3,55.8,25.4,30.3,6.907216494845361
55,32.1,36.6,54.8,26.0,30.3,5.464583333333334
56,31.9,36.2,54.1,25.0,30.5,5.099808061420345
57,32.4,35.8,56.9,26.4,30.4,5.4459459459459465
58,32.0,35.2,63.2,26.0,30.2,7.180451127819549
59,31.8,34.0,64.4,26.0,29.4,6.603911980440099
60,32.0,33.6,68.3,26.0,29.4,5.649269311064719
61,32.9,34.0,66.5,26.9,29.2,4.362876254180602
62,33.6,34.6,68.8,26.9,29.6,5.34009009009009
63,33.4,34.2,67.2,27.0,29.7,5.213483146067415
64,32.1,32.0,65.9,26.9,29.8,4.2316666666666665
65,32.2,34.0,62.8,26.9,29.3,6.463942307692307
66,33.0,35.8,63.5,26.9,29.6,6.568445475638051
67,31.8,36.3,54.1,26.6,30.1,13.48917748917749
68,32.2,36.4,53.8,27.0,30.4,8.833333333333334
69,32.5,35.6,57.7,27.0,30.5,7.280748663101605
70,32.9,35.0,57.7,27.9,30.3,6.221411192214111
71,32.0,33.4,65.7,25.0,30.5,4.681732580037664
72,28.3,33.0,75.8,24.0,29.3,3.046176046176046
73,30.3,34.6,64.0,25.0,27.1,3.962025316455696
74,30.5,34.9,52.5,25.0,29.1,7.330845771144277
75,31.6,34.0,62.7,26.0,29.6,8.63076923076923
76,31.9,34.4,66.7,26.0,29.3,6.21304347826087
77,32.2,34.6,64.8,26.0,29.5,7.1633165829145735
78,34.0,35.4,65.8,26.9,29.7,8.722929936305732
79,35.1,35.1,67.7,26.9,30.3,6.375
80,35.1,36.6,64.1,27.6,30.5,5.1454545454545455
81,35.0,35.0,64.1,28.0,30.9,5.966442953020134
82,31.8,35.6,67.2,26.0,30.8,5.965217391304347
83,31.9,35.3,63.2,25.0,29.2,5.224899598393574
84,32.8,35.3,60.9,26.0,29.7,5.0807692307692305
85,33.2,37.2,60.7,26.0,30.3,5.13953488372093
86,33.9,36.0,63.0,27.0,30.6,4.823853211009174
87,33.2,34.6,67.4,25.0,30.4,4.483992467043314
88,33.9,34.0,68.2,27.0,29.6,4.6873889875666075
89,34.0,35.0,67.7,26.9,29.9,5.815126050420168
90,35.3,35.0,67.8,27.9,30.1,4.874564459930314
91,35.3,35.0,65.4,28.0,30.6,4.837890624999999
92,34.3,34.4,65.5,27.4,30.8,4.204903677758319
93,35.0,36.6,61.4,27.9,30.3,5.2250489236790605
94,35.2,35.0,64.4,28.0,31.1,4.581352833638025
95,35.3,35.6,64.4,27.9,30.9,5.119922630560928
96,35.7,34.0,67.9,28.0,30.9,4.675834970530452
97,35.2,34.0,67.1,28.0,30.6,4.41696113074205
98,32.9,34.5,68.8,24.8,30.5,4.966457023060796
99,35.7,36.0,62.9,27.0,29.5,5.1988304093567255
100,36.3,35.4,66.3,27.9,31.2,4.392452830188679
101,33.9,32.9,73.7,27.0,31.1,3.3703125
102,33.4,35.0,70.1,26.0,29.3,5.937209302325582
103,34.3,34.6,65.0,26.0,29.9,7.3418803418803416
104,34.9,35.6,68.9,27.0,30.5,5.902542372881356
105,35.6,35.5,68.7,27.4,30.3,5.081904761904762
106,34.3,35.2,70.2,26.4,30.6,3.8998357963875208
107,35.7,36.0,66.9,27.0,30.1,3.9264448336252187
108,37.7,37.0,67.2,28.0,31.0,5.225680933852141
109,35.5,34.1,70.6,28.4,31.6,3.708407871198569
110,36.1,37.0,67.5,27.0,30.2,5.773305084745762
111,34.8,34.6,73.4,27.0,30.9,4.0140105078809105
112,34.2,34.2,69.0,26.0,29.7,4.62124248496994
113,34.6,35.0,68.1,26.0,30.3,5.795964125560538
114,34.7,36.6,70.3,27.4,30.4,5.1312500000000005
115,33.7,33.4,69.3,26.9,30.0,4.510763209393346
116,34.0,36.0,63.3,26.0,29.7,5.208588957055214
117,34.1,36.2,69.4,26.0,30.7,5.947247706422019
118,34.7,35.1,71.4,27.8,30.0,3.7968197879858656
119,32.8,34.4,74.2,25.0,29.8,3.4835766423357666
120,33.3,34.8,72.0,25.0,29.0,5.873893805309734
121,34.8,35.2,70.6,27.0,29.6,5.187145557655954
122,34.6,34.0,70.8,27.9,30.1,3.2664756446991405
123,33.8,34.6,68.9,26.9,29.8,4.269736842105264
124,34.1,34.2,69.9,26.0,29.8,5.723214285714286
125,35.3,34.0,66.6,26.9,30.1,4.922794117647059
126,34.7,33.6,71.6,26.0,30.7,3.554597701149426
127,33.2,34.6,69.1,25.0,30.0,4.71953578336557
128,34.6,35.4,66.2,26.0,29.8,5.513026052104209
129,33.5,34.6,70.8,26.5,30.5,6.006622516556292
130,34.6,34.2,70.2,26.9,29.5,4.0992
131,35.4,34.6,68.0,26.6,30.0,5.229287090558767
132,33.6,33.9,75.3,26.0,30.7,3.3503086419753085
133,31.9,35.0,75.5,24.0,29.1,3.9178981937602626
134,31.0,34.0,70.6,24.0,28.7,4.012962962962963
135,28.7,31.6,80.8,25.0,28.6,3.5209059233449476
136,27.7,31.4,82.7,25.0,27.2,1.624142661179698
137,28.8,30.8,78.9,24.9,26.6,2.038809831824062
138,29.9,32.0,74.1,25.0,27.1,2.1518151815181517
139,29.7,31.0,79.5,24.0,27.9,2.74310595065312
140,27.9,31.3,84.8,24.4,27.3,1.4599303135888504
141,28.4,31.0,84.4,25.0,26.4,1.6226415094339623
142,30.6,30.0,79.8,25.9,26.7,2.2670375521557715
143,31.0,30.4,76.6,26.0,27.8,2.138024357239513
144,27.6,30.6,81.4,24.0,28.0,1.6329723225030084
145,29.8,31.0,75.7,24.0,26.3,2.971993410214168
146,30.8,30.0,77.9,26.0,27.4,2.2371134020618557
147,31.6,34.0,74.5,26.0,27.8,4.484797297297297
148,32.4,33.6,70.5,25.0,28.8,5.786885245901638
149,32.8,33.6,71.0,26.0,29.5,4.960079840319361
150,31.8,34.6,73.9,24.4,29.5,3.620071684587814
151,32.2,33.2,74.6,25.7,28.7,4.240808823529411
152,34.4,32.6,74.6,27.0,28.8,4.559223300970874
153,32.7,33.6,75.8,26.0,29.5,4.673427991886411
154,33.4,33.6,76.2,26.0,28.9,5.843971631205674
155,33.1,34.0,76.9,24.4,29.0,4.5092936802973975
156,32.7,32.6,76.2,26.0,29.0,3.0617495711835336
157,33.6,33.6,75.8,27.0,28.9,3.4264705882352944
158,34.8,32.6,77.9,27.0,29.1,2.286135693215339
159,33.7,31.1,80.1,27.0,29.4,1.1234309623430963
160,30.0,33.0,79.8,23.1,28.8,2.308982035928144
161,34.0,33.0,74.7,27.0,27.5,3.5016666666666665
162,32.9,32.6,75.4,25.4,29.4,2.7203647416413377
163,32.2,31.8,80.3,26.0,28.9,1.9836289222373809
164,32.2,32.9,74.6,26.0,28.1,2.8849407783417935
165,31.5,32.0,78.1,25.0,28.7,3.0313479623824455
166,31.6,33.4,75.8,26.1,28.0,3.6578947368421053
167,31.6,33.4,77.3,25.0,28.2,3.661512027491409
168,30.9,34.0,73.9,25.0,28.4,2.3842857142857143
169,26.7,30.3,84.5,24.0,28.4,1.4340021119324182
170,31.9,33.0,73.9,25.0,25.8,2.0289655172413794
171,31.6,32.6,76.3,25.0,28.7,2.8861209964412806
172,32.7,34.6,67.1,24.4,28.2,5.999999999999999
173,33.2,33.0,73.9,26.9,29.6,3.7420886075949364
174,33.9,35.0,67.0,25.6,29.0,5.9493670886075956
175,32.3,34.0,73.5,25.8,30.4,4.030441400304414
176,32.9,33.1,68.0,26.9,28.8,4.771698113207547
177,32.4,33.9,63.7,26.0,29.5,3.7127659574468086
178,30.3,33.6,72.7,23.8,29.7,3.6890459363957597
179,29.2,30.8,78.3,23.1,28.2,2.428368794326241
180,27.6,31.6,79.9,24.3,27.3,2.9370816599732263
181,30.5,33.0,73.3,24.0,26.6,4.184039087947882
182,30.2,33.0,73.4,25.0,28.3,5.242603550295858
183,30.7,33.0,71.6,24.0,28.1,3.6557911908646004
184,31.9,33.0,70.2,25.4,28.4,3.8413284132841325
185,32.4,33.4,71.9,26.0,29.0,3.5782312925170072
186,30.3,33.0,73.7,25.0,29.1,1.2031250000000002
187,31.4,33.0,73.0,25.0,28.2,3.748322147651007
188,31.7,32.5,73.3,26.0,28.7,3.3435582822085887
189,30.8,32.6,78.9,26.0,28.8,2.3808823529411764
190,28.9,32.0,82.8,24.3,28.0,2.156763590391909
191,30.4,32.1,82.3,25.0,27.1,1.8055172413793104
192,31.8,32.5,76.7,25.9,27.5,3.4520795660036168
193,32.8,34.0,75.2,26.0,28.5,4.347222222222222
194,33.2,34.6,73.6,25.5,29.1,3.763293310463122
195,31.1,34.0,73.3,24.4,29.2,4.040564373897707
196,29.9,34.0,75.4,25.0,28.5,4.198630136986301
197,31.3,32.4,79.0,25.0,28.1,4.514469453376206
198,31.8,33.2,76.7,24.8,28.1,3.4788273615635177
199,32.5,33.0,73.8,25.0,28.5,4.647058823529412
200,32.5,34.0,74.5,25.0,29.0,5.127118644067797
201,33.5,33.9,79.0,26.9,29.0,3.0465838509316767
202,32.3,32.0,78.9,25.9,28.8,4.098807495741056
203,33.2,33.5,73.8,26.0,28.5,3.202143950995406
204,31.0,34.0,76.1,25.4,29.3,3.9204368174726993
205,31.2,34.0,77.3,24.6,28.5,3.0211081794195254
206,28.4,30.1,84.7,25.0,28.4,2.0307486631016043
207,29.9,31.6,74.4,25.0,26.8,2.194331983805668
208,31.3,33.6,70.2,25.0,27.9,3.739057239057239
209,31.8,33.6,71.8,25.0,28.9,5.1643564356435645
210,32.2,33.4,71.2,25.0,29.0,4.488454706927176
211,33.8,34.0,70.6,26.9,29.1,4.901119402985074
212,32.9,33.4,71.0,26.0,29.7,4.644100580270793
213,31.6,33.0,73.7,26.0,29.4,4.051948051948052
214,30.9,33.6,72.7,25.4,28.6,3.4569816643159377
215,33.4,35.0,70.1,25.1,28.3,4.115702479338843
216,32.0,33.4,75.8,25.0,29.8,3.7223880597014927
217,32.5,34.0,70.2,26.0,28.7,4.017910447761194
218,34.3,35.0,69.1,26.0,29.4,4.113884555382215
219,35.1,35.5,70.4,27.0,30.3,4.480475382003395
220,30.0,32.6,81.1,22.4,30.4,2.067972350230415
221,27.0,30.4,85.2,24.0,27.3,1.3695652173913044
222,29.6,32.0,78.1,24.0,25.8,1.8308921438082557
223,31.0,31.4,75.2,25.0,27.4,3.2589118198874294
224,29.9,33.5,78.6,25.0,28.2,3.2736
225,29.8,32.5,81.1,25.0,27.8,2.7649842271293377
226,29.0,31.4,83.8,24.1,27.5,1.9986111111111111
227,27.8,31.2,82.3,23.4,27.0,1.767189384800965
228,26.0,27.6,87.1,24.0,26.5,1.1423877327491785
229,28.6,30.6,78.8,24.0,25.6,1.1767955801104972
230,31.4,32.5,76.3,25.6,26.8,2.887804878048781
231,30.0,34.6,77.1,24.0,28.4,3.9357142857142855
232,32.9,34.0,76.7,24.4,27.8,3.718446601941748
233,30.8,32.6,78.5,24.0,28.9,2.711711711711712
234,32.0,33.4,77.6,25.4,27.8,3.693771626297578
235,32.7,33.0,74.7,25.6,28.5,3.5610932475884245
236,32.6,33.0,72.2,26.0,29.1,4.016806722689076
237,32.3,32.0,73.7,26.0,29.2,3.6363636363636362
238,32.2,34.0,73.8,26.0,28.9,2.5745257452574526
239,32.1,32.9,77.0,25.6,29.0,3.3883333333333336
240,29.7,32.4,79.0,24.1,28.5,2.58255033557047
241,30.8,33.0,74.9,24.0,27.4,3.2220566318926975
242,32.5,33.6,71.4,26.0,28.2,4.284172661870503
243,33.6,34.0,70.3,26.0,29.3,4.074010327022375
244,32.4,33.0,75.2,26.0,29.8,3.180939226519337
245,30.8,31.4,77.5,26.0,29.0,1.6270207852193996
246,29.7,31.4,76.1,25.0,27.8,2.421794871794872
247,31.0,32.0,73.6,25.4,27.6,1.7487980769230769
248,32.0,33.0,72.8,25.4,28.4,3.9422492401215803
249,30.9,32.6,76.0,24.0,29.2,3.4745484400656816
250,31.0,32.6,78.4,25.0,28.0,4.837301587301588
251,27.8,33.9,82.6,24.0,28.1,2.8826530612244894
252,30.1,33.0,78.3,24.0,26.5,2.94640522875817
253,31.6,34.1,73.2,25.0,27.6,4.092819614711033
254,30.9,32.4,79.1,25.0,28.9,2.3525280898876404
255,31.1,34.2,77.5,25.0,28.1,3.326158940397351
256,30.4,32.8,79.7,24.0,28.3,3.8112244897959187
257,28.5,31.6,82.5,24.0,27.8,2.5230998509687037
258,29.4,32.6,80.9,24.4,26.7,2.3513513513513513
259,31.3,32.9,74.6,24.0,27.4,4.071556350626118
260,31.1,31.6,78.0,25.9,28.5,3.47719298245614
261,31.6,33.6,74.7,25.0,28.0,2.983361064891847
262,31.5,32.0,78.0,26.0,28.7,2.9272419627749575
263,30.1,31.4,81.0,25.9,28.3,2.5007610350076104
264,30.4,33.2,79.5,24.4,27.7,3.6256157635467985
265,28.7,31.0,82.9,22.9,28.0,2.251646903820817
266,30.3,33.4,73.8,24.0,26.7,4.442622950819672
267,31.9,34.0,68.4,25.1,28.1,4.401185770750987
268,32.1,33.6,68.8,26.0,29.3,3.886120996441281
269,31.7,34.0,70.1,24.4,29.2,5.454945054945055
270,31.9,34.0,68.8,25.0,29.2,5.202298850574713
271,32.1,35.0,64.8,24.6,29.3,5.13588110403397
272,33.5,33.7,75.2,26.0,29.7,5.995226730310263
273,33.0,33.2,77.4,25.2,29.3,4.135225375626043
274,31.4,32.6,83.4,25.8,29.0,2.37125748502994
275,28.9,33.1,82.8,24.1,28.0,2.9338028169014088
276,29.4,33.0,81.7,25.1,27.4,3.2519809825673534
277,29.8,31.1,78.1,24.1,27.3,2.65531914893617
278,27.5,31.0,84.3,23.4,27.6,1.3233532934131738
279,31.0,31.6,77.7,25.0,26.3,2.7029876977152902
280,32.0,32.6,73.7,25.0,28.1,4.438155136268343
281,30.4,32.0,77.4,25.0,28.8,2.674917491749175
282,31.5,33.0,75.2,25.0,27.9,4.302658486707567
283,31.7,33.6,70.0,25.0,28.6,4.31062124248497
284,32.2,33.3,71.9,26.0,29.2,4.319327731092437
285,32.7,33.0,70.9,26.4,29.0,5.225352112676056
286,32.0,33.4,70.4,25.0,29.1,5.5695538057742775
287,32.6,34.0,70.0,26.4,29.1,4.413127413127413
288,32.2,33.9,67.7,25.0,29.2,5.956284153005464
289,32.4,34.3,66.8,25.4,29.4,4.986238532110091
290,33.1,34.6,67.7,26.4,29.5,6.2043596730245225
291,32.7,34.0,67.0,26.0,29.6,4.8054298642533935
292,32.4,35.0,63.9,25.4,29.6,5.763496143958869
293,31.3,35.0,62.7,25.0,29.9,7.100609756097562
294,31.2,34.0,65.7,25.9,29.6,4.070564516129032
295,28.4,33.0,77.1,24.7,29.0,2.2732824427480915
296,31.2,33.6,73.7,24.0,27.2,5.015590200445434
297,31.2,33.0,74.6,25.6,28.6,3.388455538221529
298,31.4,32.9,78.9,25.0,28.5,2.9189907038512617
299,31.1,32.4,73.2,25.0,28.2,4.403651115618661
300,29.9,32.0,66.7,24.4,28.5,4.324110671936759
301,31.5,31.9,71.9,26.0,28.3,3.2722513089005236
302,31.7,33.6,71.9,26.0,28.7,3.7228070175438592
303,31.2,34.0,72.8,25.0,28.8,4.4657836644591615
304,31.6,33.4,72.3,26.0,28.8,3.9379562043795624
305,31.5,34.0,74.1,24.5,28.7,5.10161662817552
306,32.5,34.0,66.7,26.0,28.6,5.08252427184466
307,31.1,33.4,65.1,25.0,29.6,5.741025641025641
308,30.6,32.6,69.8,24.0,29.1,5.50251256281407
309,32.1,34.4,67.4,26.0,28.4,5.143518518518518
310,31.1,33.6,67.8,24.4,29.3,3.2700348432055746
311,31.3,34.0,66.7,24.4,28.7,4.7483588621444195
312,32.2,34.0,70.9,25.0,28.9,3.745886654478976
313,33.4,33.0,69.3,27.0,29.2,4.555555555555555
314,32.1,34.0,70.8,25.5,29.5,4.4490740740740735
315,32.1,33.0,67.8,26.4,29.0,4.605200945626478
316,31.1,33.4,64.5,25.0,29.2,5.248730964467006
317,30.4,34.6,65.5,24.6,29.0,5.726790450928382
318,29.8,34.0,61.5,24.0,28.8,5.238532110091743
319,28.7,30.6,74.0,24.4,28.9,3.437209302325581
320,27.6,32.6,57.7,23.0,27.2,4.318532818532819
321,26.8,31.0,58.2,22.0,27.3,6.2329842931937165
322,27.0,31.4,60.9,23.0,26.5,3.3275862068965516
323,25.8,28.0,70.9,23.0,26.5,1.0024449877750612
324,27.3,29.9,76.4,23.0,25.4,0.8928987194412107
325,28.8,31.6,78.3,25.0,26.2,1.438058748403576
326,30.1,32.4,67.9,25.0,27.0,4.085027726432532
327,29.8,34.0,66.2,23.4,28.3,7.315625
328,29.7,34.0,63.0,23.4,28.3,5.437939110070257
329,29.5,33.6,61.9,23.4,28.7,5.598930481283423
330,29.4,34.4,57.9,23.4,28.5,9.264367816091953
331,28.2,34.0,58.4,22.0,28.8,6.121287128712872
332,28.3,33.6,61.4,22.6,27.8,6.668478260869566
333,28.3,33.0,58.7,22.0,27.7,9.528735632183906
334,28.7,33.0,58.9,23.0,27.8,5.312649164677804
335,28.3,34.0,55.9,23.0,28.2,12.533333333333333
336,29.4,33.0,61.1,23.0,27.8,8.579166666666667
337,29.6,33.0,76.3,24.0,28.2,3.8653061224489798
338,30.4,33.0,64.4,25.9,27.7,3.2903811252268604
339,30.2,33.0,66.1,25.9,28.7,4.712669683257919
340,29.9,33.0,67.6,25.9,28.5,4.9538834951456305
341,30.3,34.0,65.4,24.9,28.2,6.326647564469915
342,29.9,33.0,66.5,25.0,28.6,4.455399061032864
343,29.4,33.0,64.4,24.0,28.2,6.310850439882698
344,29.5,33.0,63.0,25.0,28.1,6.596385542168674
345,29.8,33.0,64.9,24.9,28.3,4.781176470588235
346,29.8,33.0,69.1,24.9,28.4,5.1425
347,30.2,34.9,62.2,23.9,28.1,5.678921568627451
348,30.7,35.0,60.3,24.0,28.7,7.54
349,31.2,34.0,65.6,25.9,29.2,5.889196675900276
350,30.8,33.0,72.0,25.0,29.0,4.861771058315335
351,30.2,32.0,71.1,25.0,28.4,4.215767634854771
352,30.8,33.0,71.5,25.9,28.2,5.137254901960785
353,31.4,34.0,65.8,26.0,28.5,5.178654292343387
354,31.2,36.0,60.6,25.2,29.1,8.143790849673202
355,29.9,35.0,55.9,25.0,29.5,6.933518005540166
356,30.2,34.0,60.9,24.0,29.1,9.166666666666666
357,31.1,35.0,64.2,24.0,28.9,6.718579234972678
358,30.0,35.0,61.0,25.0,29.0,4.394736842105263
359,26.9,32.0,49.5,22.0,28.6,5.328571428571429
360,27.1,32.0,55.5,21.0,26.8,3.9901768172888015
361,29.8,33.0,58.0,25.0,26.6,3.067892503536068
362,30.6,33.0,61.2,25.0,28.6,4.758264462809918
363,31.3,34.0,63.5,25.0,28.9,5.722077922077922
364,31.3,35.0,59.5,26.0,29.1,5.657701711491443
365,30.6,35.0,54.0,25.0,29.5,5.888337468982631
366,31.0,36.0,55.5,25.0,29.6,6.136239782016348
367,30.0,35.0,60.9,24.0,29.7,6.707736389684814
368,30.3,35.0,58.8,25.0,28.8,4.225806451612903
369,30.0,34.8,57.6,24.0,28.9,5.196335078534031
370,30.1,35.0,61.3,25.0,28.8,4.022222222222222
371,28.4,34.0,59.5,23.0,28.6,5.367788461538462
372,25.1,31.9,50.7,21.0,27.7,8.371165644171779
373,23.9,31.0,50.6,18.0,25.4,9.470790378006873
374,25.7,31.9,59.6,20.0,24.1,6.326633165829146
375,27.7,34.0,59.4,21.9,25.6,9.08591065292096
376,28.8,33.0,63.5,23.0,27.4,4.52
377,29.4,34.0,65.6,25.0,27.8,7.809248554913294
378,30.2,33.0,69.0,25.0,28.2,6.410666666666667
379,30.3,34.0,71.2,25.0,28.4,7.002747252747253
380,30.0,35.0,63.8,25.0,28.4,6.079320113314448
381,29.4,35.0,56.7,24.0,28.8,7.6996996996997
382,29.1,34.0,58.4,24.0,28.6,6.823979591836734
383,28.5,34.0,55.1,22.0,28.3,9.536332179930797
384,28.6,35.0,50.2,22.0,28.2,11.063745019920317
385,28.1,34.0,53.3,23.0,28.5,9.914498141263941
386,27.9,34.0,57.7,22.0,28.1,12.518018018018017
387,28.7,35.0,58.4,23.9,27.6,9.995867768595042
388,29.4,34.0,62.4,24.0,28.1,9.567164179104477
389,29.4,35.0,54.3,24.0,28.1,9.191489361702127
390,29.0,32.0,54.6,24.0,28.9,3.7447552447552446
391,28.9,34.0,57.7,23.0,28.3,5.477366255144033
392,29.6,34.0,55.1,24.0,28.1,4.69396551724138
393,29.6,33.7,56.0,25.0,28.8,4.633276740237691
394,28.9,34.0,60.8,23.0,28.6,6.303944315545243
395,28.3,34.0,54.9,22.0,28.1,8.032362459546926
396,28.9,34.0,60.2,23.0,27.9,7.02770083102493
397,29.0,33.0,60.4,24.0,28.2,7.671686746987951
398,29.5,34.0,58.2,24.0,28.1,7.845679012345679
399,29.7,35.0,61.7,24.0,28.5,10.31764705882353
400,29.7,34.0,60.5,25.0,28.5,8.30794701986755
401,29.4,34.0,60.3,25.0,28.5,8.154320987654321
402,29.0,34.0,68.3,24.0,28.4,9.087947882736156
403,29.8,34.0,66.9,25.0,27.9,5.957805907172996
404,30.3,33.0,68.8,25.9,28.4,4.712418300653595
405,30.5,34.0,65.2,25.9,28.4,5.707792207792207
406,30.9,35.0,57.7,26.0,28.9,9.42156862745098
407,30.7,34.0,63.8,25.9,29.4,6.6091644204851745
408,30.7,34.0,68.2,25.9,29.0,6.9531680440771355
409,30.3,34.0,60.2,25.9,28.6,7.257668711656441
410,30.6,33.0,64.4,25.9,29.1,4.665893271461717
411,29.7,32.0,68.0,25.9,28.7,3.8404255319148937
412,29.9,33.8,66.4,24.9,28.1,7.847262247838616
413,29.9,34.0,64.3,24.9,28.3,9.875
414,31.2,34.0,66.8,25.8,28.6,6.945
415,31.6,34.0,66.5,25.9,29.1,5.918681318681319
416,30.9,34.0,64.1,25.9,29.2,7.809230769230769
417,31.8,35.0,65.3,25.9,29.1,4.867469879518072
418,31.4,34.0,62.5,26.0,29.2,5.919168591224019
419,31.4,37.0,57.0,26.0,29.3,10.747292418772563
420,30.9,34.0,62.0,25.0,29.9,6.306172839506173
421,31.1,36.0,54.7,25.0,29.2,7.796703296703297
422,29.5,35.0,56.1,24.0,29.8,9.872053872053872
423,29.3,35.0,57.1,25.0,28.8,8.243478260869564
424,29.6,34.8,55.1,25.0,28.6,17.461988304093566
425,30.7,34.0,63.3,25.9,28.9,9.931034482758621
426,31.5,35.0,60.8,26.0,29.0,10.087542087542088
427,31.1,34.0,63.5,26.0,29.6,7.177377892030848
428,31.7,34.0,67.4,26.0,29.3,7.792915531335149
429,32.3,34.0,66.1,26.9,29.2,4.568807339449541
430,31.9,34.0,64.2,26.9,29.5,5.683569979716024
431,31.7,34.0,65.4,26.9,29.4,6.461538461538461
432,32.1,34.0,62.5,26.9,29.2,8.90353697749196
433,33.2,34.0,67.2,26.9,29.7,5.475442043222004
434,32.6,34.0,60.8,27.0,29.9,6.656565656565657
435,32.9,37.0,63.1,25.6,30.1,6.726495726495726
436,34.9,35.0,66.6,27.9,30.2,4.2058319039451115
437,35.4,36.0,68.2,28.0,30.4,5.763829787234042
438,36.0,37.0,65.4,28.0,30.6,6.461873638344227
439,36.1,37.0,66.5,27.9,31.2,5.576771653543307
440,35.8,37.0,65.4,27.9,31.2,6.886255924170616
441,35.8,37.0,66.2,27.9,31.2,6.166666666666667
442,34.6,36.0,62.4,27.9,31.0,5.783505154639175
443,36.1,36.0,64.8,27.9,30.9,5.632443531827516
444,35.3,37.0,59.2,28.0,31.3,6.071881606765328
445,34.5,38.0,51.6,28.0,31.6,6.403118040089087
446,35.3,36.0,61.1,28.0,32.0,7.586776859504132
447,34.2,36.0,57.5,28.0,31.3,6.777251184834123
448,34.3,36.0,59.1,27.9,31.3,5.575238095238095
449,34.8,36.0,61.6,27.9,31.2,6.109375
450,35.7,37.0,60.1,27.9,31.1,6.9799999999999995
451,36.1,37.0,60.2,28.9,31.8,5.103896103896105
452,35.8,36.0,64.1,26.0,31.9,5.548387096774194
453,37.1,37.0,62.9,28.9,31.1,5.260579064587973
454,36.0,35.0,60.8,29.0,31.8,5.065263157894737
455,34.3,36.0,58.5,27.0,31.5,6.292978208232445
456,35.7,36.0,58.2,28.9,31.2,5.443089430894309
457,37.0,36.0,62.0,28.9,31.8,5.127886323268206
458,37.3,37.0,62.4,28.8,31.9,5.126353790613718
459,37.7,37.0,61.7,28.9,32.0,5.587452471482889
460,38.5,37.0,63.2,29.0,32.3,5.780821917808219
